allele,genbankNucleotideAccession,genbankProteinAccession,refseqNucleotideAccession,refseqProteinAccession,ncbiFamily,expectedPhenotype,class,subclass,extendedAnnotation,nodeId,geneFamily,tier,mrsnSuperFamily
,M62426.1,AAA26402.1,,WP_011205832.1,klaB,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance system protein klaB,klaB,klaB,4,kla
,M62426.1,AAA26403.1,,WP_011205831.1,klaC,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance system protein klaC,klaC,klaC,4,kla
,M21319.1,AAA26617.1,,WP_000750405.1,see,Virulence,Virulence,,staphylococcal enterotoxin type E,see,see,4,see
,M28364.1,AAA26624.1,,WP_001043552.1,sec2,Virulence,Virulence,,staphylococcal enterotoxin type C2,sec2,sec2,4,sec
,M17347.1,AAA26625.1,,WP_001065781.1,eta,Virulence,Virulence,,exfoliative toxin A,eta,eta,4,eta
,M17348.1,AAA26628.1,,WP_010994026.1,etb,Virulence,Virulence,,exfoliative toxin B,etb,etb,4,etb
,J02615.1,AAA26682.1,,WP_111772164.1,tst,Virulence,Virulence,,toxic shock syndrome toxin TSST-1,tst,tst,4,tst
,M80565.1,AAA27587.1,,WP_142257676.1,arsR_pSX267,Other non-antimicrobial: Arsenic,Other non-antimicrobial,Arsenic,As(III)-sensing metalloregulatory transcriptional repressor ArsR,arsR_pSX267,arsR,4,ars
,M80565.1,AAA27588.1,,WP_099265891.1,arsB_pI258,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter membrane subunit ArsB,arsB_pI258,arsB,4,ars
,M80565.1,AAA27589.1,,WP_263305208.1,arsC_thio,Other non-antimicrobial: Arsenate,Other non-antimicrobial,Arsenate,thioredoxin-dependent arsenate reductase,arsC_thio,arsC,4,ars
,U12894.1,AAA57451.1,,WP_032154288.1,aggD,Virulence,Virulence,,aggregative adherence fimbria I chaperone AggD,aggD,aggD,4,agg
,U12894.1,AAA57452.1,,WP_110996814.1,aggC,Virulence,Virulence,,aggregative adherence fimbria I usher protein AggC,aggC,aggC,4,agg
,U12894.1,AAA57453.1,,WP_086218798.1,aggB,Virulence,Virulence,,aggregative adherence fimbria I minor subunit AggB,aggB,aggB,4,agg
,U12894.1,AAA57454.1,,WP_110996815.1,aggA,Virulence,Virulence,,aggregative adherence fimbria I major subunit AggA,aggA,aggA,4,agg
,L31363.1,AAA65102.1,,WP_024569855.1,nccX,"Other non-antimicrobial: Cadmium, Cobalt, Nickel",Other non-antimicrobial,"Cadmium, Cobalt, Nickel",periplasmic metal sensor NccX,nccX,nccX,4,ncc
,L31363.1,AAA65103.1,,WP_024569856.1,nccH,"Other non-antimicrobial: Cadmium, Cobalt, Nickel",Other non-antimicrobial,"Cadmium, Cobalt, Nickel",nickel/cobalt/cadmium resistance ECF sigma factor NccH,nccH,nccH,4,ncc
,L33969.1,AAA69514.1,,WP_131199596.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,L04539.1,AAA71893.1,,WP_263305209.1,stxA1a,Virulence,Virulence,,Shiga toxin Stx1a subunit A,stxA1a,stxA1,4,stx
,L04539.1,AAA71894.1,,WP_000752026.1,stxB1a,Virulence,Virulence,,Shiga toxin Stx1a subunit B,stxB1a,stxB1,4,stx
,M98037.1,AAA72120.1,,WP_003470007.1,cpe,Virulence,Virulence,,enterotoxin CPE,cpe,cpe,4,cpe
,L11616.1,AAA74436.1,,WP_003118819.1,mexA,Not determined,Not determined,,multidrug efflux RND transporter periplasmic adaptor subunit MexA,mexA,mexA,4,mex
,U14993.1,AAA80193.1,,WP_003693766.1,mtrC,Not determined,Not determined,,multidrug efflux RND transporter periplasmic adaptor subunit MtrC,mtrC,mtrC,4,mtr
,AF138877.1,AAA83973.1,,WP_000672080.1,merR_Bc1,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance transcriptional regulator MerR1,merR_Bc1,merR1,4,mer
,AF138877.1,AAA83975.1,,WP_000660891.1,merT_RC607,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercuric transport protein MerT,merT_RC607,merT,4,mer
,AF138877.1,AAA83977.1,,WP_263305210.1,merA,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury(II) reductase,merA,merA,4,mer
,AF138877.1,AAA83978.1,,WP_263305211.1,merB1,Other non-antimicrobial: Organomercury,Other non-antimicrobial,Organomercury,organomercurial lyase MerB1,merB1,merB1,4,mer
,L43373.1,AAA85087.1,,WP_021520534.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,U42629.1,AAA85196.1,,WP_263305212.1,cnf1,Virulence,Virulence,,cytotoxic necrotizing factor CNF1,cnf1,cnf1,4,cnf
,U59239.2,AAA86846.1,,WP_000254137.1,terZ,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance-associated protein TerZ,terZ,terZ,4,ter
,M15049.1,AAA88369.1,,WP_000761850.1,merB,Other non-antimicrobial: Organomercury,Other non-antimicrobial,Organomercury,organomercurial lyase MerB,merB,merB,4,mer
,M15049.1,AAA88370.1,,WP_000995361.1,merD,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance co-regulator MerD,merD,merD,4,mer
,M15049.1,AAA88371.1,,WP_263305213.1,merE,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,broad-spectrum mercury transporter MerE,merE,merE,4,mer
,M29034.1,AAA88432.1,,WP_003117270.1,chrA,Other non-antimicrobial: Chromate,Other non-antimicrobial,Chromate,chromate resistance efflux protein ChrA,chrA,chrA,4,chr
,M11118.1,AAA88550.1,,WP_000278085.1,seb,Virulence,Virulence,,staphylococcal enterotoxin type B,seb,seb,4,seb
,M29945.1,AAA88694.1,,WP_005166773.1,ail,Virulence,Virulence,,attachment invasion locus protein Ail,ail,ail,4,ail
,U13078.1,AAA92037.1,,WP_358249037.1,cph,"Other antimicrobial: Capreomycin, Viomycin",Other antimicrobial,"Capreomycin, Viomycin",capreomycin phosphotransferase,cph,cph,3,cph
,L77091.1,AAA92618.1,,WP_021578761.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,L77091.1,AAA92621.1,,WP_000181225.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,U13073.1,AAA93060.1,,WP_032488785.1,arsD,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter metallochaperone ArsD,arsD,arsD,4,ars
,M19473.1,AAA98151.1,,WP_001365506.1,stxA1a,Virulence,Virulence,,Shiga toxin Stx1a subunit A,stxA1a,stxA1,4,stx
,M24940.1,AAA98221.1,,WP_000414383.1,merR_Ps,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance transcriptional regulator MerR,merR_Ps,merR,4,mer
,M24940.1,AAA98222.1,,WP_001294666.1,merT,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercuric transport protein MerT,merT,merT,4,mer
,M24940.1,AAA98223.1,,WP_000732290.1,MerP_Gneg,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance system periplasmic binding protein MerP,MerP_Gneg,merP,4,mer
,L29436.1,AAA98245.1,,WP_000193219.1,merA,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury(II) reductase,merA,merA,4,mer
,M20238.1,AAA98291.1,,WP_114272568.1,terC,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance membrane protein TerC,terC,terC,4,ter
,M20238.1,AAA98292.1,,WP_126936535.1,terD,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance membrane protein TerD,terD,terD,4,ter
,M20238.1,AAA98293.1,,WP_126936537.1,terE,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance cAMP binding protein TerE,terE,terE,4,ter
,M19437.1,AAA98347.1,,WP_000691354.1,stxA1a,Virulence,Virulence,,Shiga toxin Stx1a subunit A,stxA1a,stxA1,4,stx
,M28521.1,AAB06195.1,,WP_128623913.1,sed,Virulence,Virulence,,staphylococcal enterotoxin type D,sed,sed,4,sed
,U38947.1,AAB09624.1,,WP_001114073.1,arsR_R46,Other non-antimicrobial: Arsenic,Other non-antimicrobial,Arsenic,As(III)-sensing metalloregulatory transcriptional repressor ArsR,arsR_R46,arsR,4,ars
,U38947.1,AAB09625.1,,WP_010999950.1,arsD,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter metallochaperone ArsD,arsD,arsD,4,ars
,U38947.1,AAB09626.1,,WP_010999951.1,arsA,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter ATPase subunit ArsA,arsA,arsA,4,ars
,U38947.1,AAB09628.1,,WP_010999953.1,arsC_gluta,Other non-antimicrobial: Arsenate,Other non-antimicrobial,Arsenate,glutaredoxin-dependent arsenate reductase,arsC_gluta,arsC,4,ars
,S68237.1,AAB20438.1,,WP_151062262.1,focG,Virulence,Virulence,,F1C fimbria minor subunit FocG,focG,focG,4,focG
,S49407.1,AAB24244.1,,,bont_D,Virulence,Virulence,,botulinum neurotoxin type D,bont_D,bont_D,4,bont
,AH004279.2,AAB26855.2,,WP_125168728.1,nfaE,Virulence,Virulence,,Dr family non-fimbrial adhesin I chaperone NfaE,nfaE,nfaE,4,nfaE
,U58366.1,AAB42203.1,,WP_010891244.1,arsC_gluta,Other non-antimicrobial: Arsenate,Other non-antimicrobial,Arsenate,glutaredoxin-dependent arsenate reductase,arsC_gluta,arsC,4,ars
,U58366.1,AAB42204.1,,WP_010891245.1,arsB_pYV,Other non-antimicrobial: Arsenite,Other non-antimicrobial,Arsenite,arsenite efflux transporter membrane subunit ArsB,arsB_pYV,arsB,4,ars
,K03089.1,AAB59075.1,,WP_001294663.1,merT,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercuric transport protein MerT,merT,merT,4,mer
,J04551.1,AAB59153.1,,WP_000726007.1,cadC_Sa,"Other non-antimicrobial: Cadmium, Lead, Zinc",Other non-antimicrobial,"Cadmium, Lead, Zinc",Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,cadC_Sa,cadC,4,cad
,U77368.1,AAB67969.1,,WP_014600430.1,inlC2,Virulence,Virulence,,class 1 internalin InlC2,inlC2,inlC,4,inl
,U77368.1,AAB67970.1,,WP_014600431.1,inlD,Virulence,Virulence,,class 1 internalin InlD,inlD,inlD,4,inl
,AF012835.2,AAB82330.1,,WP_110996816.1,aafA,Virulence,Virulence,,aggregative adherence fimbria II major subunit AafA,aafA,aafA,4,aaf
,AF013122.1,AAB88410.1,,WP_263305214.1,tir,Virulence,Virulence,,type III secretion system LEE translocated intimin receptor Tir,tir,tir,4,tir
,AF045568.1,AAC15683.1,,WP_089656255.1,tir,Virulence,Virulence,,type III secretion system LEE translocated intimin receptor Tir,tir,tir,4,tir
,AF068634.1,AAC21574.1,,WP_002494082.1,hld,Virulence,Virulence,,delta-hemolysin,hld,hld,4,hld
,L42023.1,AAC23256.1,,WP_005693623.1,hmrM,Not determined,Not determined,,sodium-coupled multidrug efflux MATE transporter HmrM,hmrM,hmrM,4,hmrM
,AF047365.1,AAC23714.1,,WP_000936806.1,ipaH9.8,Virulence,Virulence,,T3SS effector E3 ubiquitin-protein ligase IpaH9.8,ipaH9.8,ipaH9.8,4,ipa
,AF043471.1,AAC24352.1,,WP_032489272.1,ehxA,Virulence,Virulence,,enterohemolysin EhxA,ehxA,ehxA,4,ehxA
,AF056581.1,AAC26634.1,,WP_014639426.1,pet,Virulence,Virulence,,serine protease autotransporter toxin Pet,pet,pet,4,pet
,L77965.1,AAC27654.1,,WP_223200426.1,cpb2,Virulence,Virulence,,beta-2 toxin CPB2,cpb2,cpb2,4,cpb
,AF071034.1,AAC31499.1,,WP_263305215.1,espB,Virulence,Virulence,,type III secretion system LEE translocon pore-forming subunit EspB,espB,espB,4,esp
,AF004308.1,AAC33154.1,,WP_032489323.1,lngA,Virulence,Virulence,,type IV pilus longus major pilin,lngA,lngA,4,lngA
,AF071413.3,AAC33908.1,,WP_001340589.1,merC,Other non-antimicrobial: Organomercury,Other non-antimicrobial,Organomercury,organomercurial transporter MerC,merC,merC,4,mer
,U19784.1,AAC34727.1,,WP_263305216.1,faeG,Virulence,Virulence,,F4 (K88) fimbria major subunit/adhesin FaeG,faeG,faeG,4,faeG
,U80214.1,AAC38219.1,,WP_003131987.1,MerP_Gneg,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance system periplasmic binding protein MerP,MerP_Gneg,merP,4,mer
,U80214.1,AAC38220.1,,WP_032489127.1,merA,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury(II) reductase,merA,merA,4,mer
,U80214.1,AAC38221.1,,WP_032489128.1,merD,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance co-regulator MerD,merD,merD,4,mer
,U90263.1,AAC38229.1,,WP_011005943.1,merR_Ps,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance transcriptional regulator MerR,merR_Ps,merR,4,mer
,U90263.1,AAC38230.1,,WP_032489134.1,merB_gen,Other non-antimicrobial: Organomercury,Other non-antimicrobial,Organomercury,organomercurial lyase MerB,merB_gen,merB,4,mer
,U90263.1,AAC38231.1,,WP_032489135.1,merT,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercuric transport protein MerT,merT,merT,4,mer
,U90263.1,AAC38232.1,,WP_032489136.1,MerP_Gneg,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,mercury resistance system periplasmic binding protein MerP,MerP_Gneg,merP,4,mer
,U90263.1,AAC38233.1,,WP_032489137.1,merC,Other non-antimicrobial: Organomercury,Other non-antimicrobial,Organomercury,organomercurial transporter MerC,merC,merC,4,mer
,U81032.1,AAC38236.1,,WP_001087809.1,merE,Other non-antimicrobial: Mercury,Other non-antimicrobial,Mercury,broad-spectrum mercury transporter MerE,merE,merE,4,mer
,AF022236.1,AAC38390.1,,WP_001339882.1,tir,Virulence,Virulence,,type III secretion system LEE translocated intimin receptor Tir,tir,tir,4,tir
,AF022236.1,AAC38394.1,,WP_000381567.1,espA,Virulence,Virulence,,type III secretion system LEE translocon filament protein EspA,espA,espA,4,esp
,AF022236.1,AAC38396.1,,WP_001091991.1,espB,Virulence,Virulence,,type III secretion system LEE translocon pore-forming subunit EspB,espB,espB,4,esp
,AF022236.1,AAC38400.1,,WP_012579019.1,espF,Virulence,Virulence,,type III secretion system LEE effector EspF,espF,espF,4,esp
,AF031417.2,AAC38671.1,,WP_014754360.1,ttgB,Not determined,Not determined,,multidrug efflux RND transporter permease subunit TtgB,ttgB,ttgB,4,ttg
,M55661.1,AAC41416.1,,WP_157140375.1,cfaC,Virulence,Virulence,,CFA/I pilus usher protein CfaC,cfaC,cfaC,4,cfa
,U69128.1,AAC44731.1,,WP_109867760.1,espC,Virulence,Virulence,,serine protease autotransporter toxin EspC,espC,espC,4,esp
,U49054.1,AAC44736.1,,WP_001176767.1,terW,Other non-antimicrobial: Tellurium,Other non-antimicrobial,Tellurium,tellurium resistance protein TerW,terW,terW,4,ter
,U04844.1,AAC45093.1,,WP_000750952.1,cssA,Virulence,Virulence,,CS6 fimbrial subunit A CssA,cssA,cssA,4,cssA
,AF022140.1,AAC45719.1,,WP_061363423.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,AF022140.1,AAC45722.1,,WP_061363424.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,U72191.1,AAC45964.1,,WP_263305217.1,stxA2e,Virulence,Virulence,,Shiga toxin Stx2e subunit A,stxA2e,stxA2,4,stx
,U72191.1,AAC45965.1,,WP_263305218.1,stxB2e,Virulence,Virulence,,Shiga toxin Stx2e subunit B,stxB2e,stxB2,4,stx
,U50597.1,AAC46147.1,,WP_002211842.1,yfeA,Virulence,Virulence,,iron/manganese ABC transporter substrate-binding protein YfeA,yfeA,yfeA,4,yfe
,U50597.1,AAC46148.1,,WP_002211843.1,yfeB,Virulence,Virulence,,iron/manganese ABC transporter ATP-binding protein YfeB,yfeB,yfeB,4,yfe
,U50597.1,AAC46150.1,,WP_128129395.1,yfeD,Virulence,Virulence,,iron/manganese ABC transporter permease subunit YfeD,yfeD,yfeD,4,yfe
,AF070067.1,AAC69314.1,,WP_263305219.1,tir,Virulence,Virulence,,type III secretion system LEE translocated intimin receptor Tir,tir,tir,4,tir
,AF070069.1,AAC69318.1,,WP_263305220.1,tir,Virulence,Virulence,,type III secretion system LEE translocated intimin receptor Tir,tir,tir,4,tir
,AF091251.1,AAC69584.1,,WP_002212761.1,ybtQ,Virulence,Virulence,,yersiniabactin ABC transporter ATP-binding/permease protein YbtQ,ybtQ,ybtQ,4,ybt
,U00096.3,AAC74250.1,,WP_000888772.1,ariR,Not determined,Not determined,,biofilm/acid-resistance regulator AriR,ariR,ariR,4,ari
,U00096.3,AAC76298.1,,WP_001273238.1,acrF,Not determined,Not determined,,multidrug efflux RND transporter permease subunit AcrF,acrF,acrF,4,acrAB
,U00096.3,AAC77110.1,,WP_001336292.1,blaEC,Beta-lactam: Penicillins (AmpC),Beta-lactam,Penicillins (AmpC),BlaEC family class C beta-lactamase,blaEC,blaEC,3,blaEC
,U00096.3,AAC77293.1,,WP_001137036.1,mdtM,Not determined,Not determined,,multidrug efflux MFS transporter MdtM,mdtM,mdtM,4,mdtM
,AF053140.1,AAC78590.1,,WP_000750881.1,sej,Virulence,Virulence,,staphylococcal enterotoxin type J,sej,sej,4,sej
,AF054421.1,AAC82360.1,,WP_001092012.1,espB,Virulence,Virulence,,type III secretion system LEE translocon pore-forming subunit EspB,espB,espB,4,esp
,AF064683.1,AAC99337.1,,WP_263305221.1,espA,Virulence,Virulence,,type III secretion system LEE translocon filament protein EspA,espA,espA,4,esp
,AE001439.1,AAD05936.1,,WP_000869072.1,copP,Other non-antimicrobial: Copper,Other non-antimicrobial,Copper,copper-binding metallochaperone CopP,copP,copP,4,cop
,AF067954.1,AAD11743.1,,WP_000790485.1,silE,Other non-antimicrobial: Silver,Other non-antimicrobial,Silver,silver-binding protein SilE,silE,silE,4,sil
,AF067954.1,AAD11746.1,,WP_001507116.1,silC,"Other non-antimicrobial: Copper, Silver",Other non-antimicrobial,"Copper, Silver",Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,silC,silC,4,sil
,AF067954.1,AAD11748.1,,WP_001446341.1,silB,"Other non-antimicrobial: Copper, Silver",Other non-antimicrobial,"Copper, Silver",Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,silB,silB,4,sil
,AF067954.1,AAD11749.1,,WP_002436621.1,silA,"Other non-antimicrobial: Copper, Silver",Other non-antimicrobial,"Copper, Silver",Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,silA,silA,4,sil
,AF067954.1,AAD11750.1,,WP_032489447.1,silP,Other non-antimicrobial: Silver,Other non-antimicrobial,Silver,Ag(+)-translocating P-type ATPase SilP,silP,silP,4,sil
,AF043627.1,AAD12174.1,,WP_001368064.1,stxA2b,Virulence,Virulence,,Shiga toxin Stx2b subunit A,stxA2b,stxA2,4,stx
,AF029405.1,AAD12176.1,,WP_014003970.1,srpB,Not determined,Not determined,,solvent efflux RND transporter permease subunit SrpB,srpB,srpB,4,srp
,AF029405.1,AAD12177.1,,WP_014003971.1,srpC,Not determined,Not determined,,solvent efflux RND transporter outer membrane subunit SrpC,srpC,ttgI,4,srp
,AF029405.1,AAD12178.1,,WP_019437729.1,srpA,Not determined,Not determined,,solvent efflux RND transporter periplasmic adaptor subunit SrpA,srpA,srpA,4,srp
,AF041464.1,AAD15663.1,,WP_131199604.1,tbtA,Not determined,Not determined,,multidrug efflux RND transporter periplasmic adaptor subunit TbtA,tbtA,tbtA,4,tbt
,AF041464.1,AAD15664.1,,WP_131199605.1,tbtB,Not determined,Not determined,,multidrug efflux RND transporter permease subunit TbtB,tbtB,tbtB,4,tbt
,AF041464.1,AAD15665.1,,WP_131199606.1,tbtM,Not determined,Not determined,,multidrug efflux RND transporter outer membrane channel subunit TbtM,tbtM,tbtM,4,tbt
,AF102990.1,AAD16833.1,,WP_010891222.1,virF_Yersin,Virulence,Virulence,,virulence regulon transcriptional activator VirF,virF_Yersin,virF,4,virF
,AF055306.1,AAD17509.1,,WP_131199597.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,AF055307.1,AAD17510.1,,WP_131199598.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,AF055308.1,AAD17511.1,,WP_131199599.1,f17a,Virulence,Virulence,,F17A fimbrial adhesin,f17a,f17a,4,f17
,AF055310.1,AAD17513.1,,WP_097480558.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,AF055311.1,AAD17514.1,,WP_000181224.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
,AF055312.1,AAD17515.1,,WP_131199600.1,f17g,Virulence,Virulence,,F17G fimbrial adhesin,f17g,f17g,4,f17
